,id,currentEducation,experienceYears,language,interest_list,skill_list,learningResource_list,tools_list
61,4d56588a-8a82-4559-8735-13950ca6a34d,Undergraduate Degree,3,Thai,"['Deep Learning', 'Generative AI', 'AI for Games', 'Recommender Systems']","['Udemy', 'Google AI', 'edX', 'YouTube', 'DeepLearning.ai', '', 'Stanford Online', 'Coursera']","['Coursera', 'Google AI', 'MIT OpenCourseWare', 'Udemy', 'Kaggle', 'Stanford Online', 'Harvard Online', '', 'GitHub']",['OpenAI GPT']
63,4dbb3f5f-32ab-472a-9e71-667ab67b10a9,University,2,French,"['Robotics', 'Cognitive Computing', 'AI in Healthcare', 'AI Ethics', 'Expert Systems', 'Natural Language Processing', 'Reinforcement Learning', 'AI in Education', 'Autonomous Vehicles', 'Computer Vision', 'Generative AI', '', 'Sp']","['Harvard Online', 'MIT OpenCourseWare', 'edX', 'Udemy', 'DeepLearning.ai', 'Coursera']","['edX', 'MIT OpenCourseWare', 'Udemy', 'Coursera', 'YouTube', 'Harvard Online', 'DeepLearning.ai', 'Stanford Online', 'Kaggle', 'GitHub']","['', 'Weka', 'PyTorch', 'OpenAI GPT', 'BigML', 'Microsoft Azure AI', 'OpenCV']"
65,4e3d68ee-4bfe-455a-aeb9-db2ea2be8197,Master Degree,4,Bengali,"['AI in Education', 'Speech Recognition', 'Computer Vision', 'AI in Healthcare', 'Reinforcement Learning', 'Neural Networks', 'Autonomous Vehicles']","['Google AI', 'MIT OpenCourseWare', 'GitHub', 'edX', '', 'Kaggle', 'DeepLearning.ai', 'Udemy', 'YouTube']","['MIT OpenCourseWare', 'Google AI', 'Coursera', '', 'DeepLearning.ai', 'Kaggle']","['Keras', 'DataRobot', 'Microsoft Azure AI', 'OpenAI GPT', 'IBM Watson']"
66,500e2459-8c26-461d-bfb7-210a31f3cc9f,Undergraduate Degree,3,Turkish,"['Computer Vision', 'Reinforcement Learning', 'AI in Finance', 'Speech Recognition']","['YouTube', 'MIT OpenCourseWare', 'edX', 'Harvard Online', 'Kaggle', 'Coursera', '', 'GitHub']","['Udemy', 'Coursera', 'DeepLearning.ai', 'YouTube', 'MIT OpenCourseWare', '', 'Stanford Online', 'Kaggle', 'Google AI', 'GitHub']","['IBM Watson', 'Weka', '', 'OpenCV', 'Amazon SageMaker', 'RapidMiner', 'DataRobot', 'Google Cloud AI', 'Scikit-learn']"
68,52149be1-82fe-42be-a6ed-438b75fb5822,Elementary,1,French,"['Expert Systems', 'Robotics', 'AI Planning and Optimization', 'Speech Recognition', 'AI in Finance', 'AI in Healthcare', 'AI for Games', 'Generative AI', 'Recommender Systems', 'AI in Education', 'Deep Learning', 'Machine Lea']","['', 'YouTube']","['Stanford Online', 'Harvard Online', '']","['Amazon SageMaker', 'TensorFlow', 'Scikit-learn', 'DataRobot', '', 'Weka', 'Google Cloud AI', 'Microsoft Azure AI', 'RapidMiner', 'OpenAI GPT', 'Hugging Face Transformers']"
69,53437002-f368-4042-bfbf-c814170a4b1e,Middle School,2,Thai,"['Natural Language Processing', 'Neural Networks', 'Expert Systems', 'Reinforcement Learning', 'Computer Vision', 'AI for Games', 'AI Ethics', '', 'Deep Learning', 'Cognitive Computing', 'Speech Recognition', 'Autonomous Vehic']","['edX', 'DeepLearning.ai', 'YouTube', 'Kaggle']","['', 'Udemy', 'Google AI', 'Coursera', 'YouTube', 'edX', 'DeepLearning.ai']","['Google Cloud AI', 'Hugging Face Transformers', 'OpenCV', '', 'RapidMiner', 'Microsoft Azure AI', 'PyTorch', 'BigML', 'OpenAI GPT']"
70,53ca9efb-6c53-4dd0-9b04-0280f91f578d,Undergraduate Degree,3,Italian,"['Natural Language Processing', 'AI in Finance', 'AI Planning and Optimization', 'AI in Education', 'Generative AI', 'Autonomous Vehicles']","['Udemy', 'edX', 'Stanford Online', 'MIT OpenCourseWare', 'Google AI', '', 'Kaggle', 'GitHub']","['Stanford Online', 'DeepLearning.ai', 'Kaggle', 'Google AI', 'Udemy', 'GitHub', 'Coursera']","['Scikit-learn', 'OpenCV', 'OpenAI GPT', '', 'TensorFlow', 'IBM Watson', 'Microsoft Azure AI', 'Google Cloud AI', 'PyTorch', 'Keras', 'Weka', 'Amazon SageMaker', 'BigML', 'DataRobot', 'RapidMiner']"
71,549637cc-0594-4981-9146-dfdfc622413d,High School,0,Italian,"['AI for Games', 'AI in Finance', 'Recommender Systems', 'Generative AI', 'Speech Recognition', 'Reinforcement Learning', 'AI in Healthcare', 'Machine Learning', 'AI Planning and Optimization', 'Robotics', 'AI Ethics', '', 'Deep ']",['Harvard Online'],"['Google AI', 'Udemy', 'YouTube', '', 'DeepLearning.ai', 'edX']","['Hugging Face Transformers', 'BigML', 'TensorFlow', 'OpenAI GPT', 'Keras', '', 'RapidMiner', 'IBM Watson', 'Google Cloud AI', 'Microsoft Azure AI', 'Weka']"
72,568cb8a8-805c-41bd-b01d-0daa599ef577,Undergraduate Degree,3,Mandarin,"['Computer Vision', 'Robotics', 'Speech Recognition', 'AI in Healthcare', 'Cognitive Computing', 'Recommender Systems', 'Machine Learning', 'Generative AI', '', 'Reinforcement Learning', 'AI for Games', 'Expert Systems', 'Deep Le']","['Harvard Online', 'Coursera', '', 'YouTube', 'GitHub', 'Stanford Online', 'Google AI']","['DeepLearning.ai', 'Harvard Online', '', 'Coursera']","['OpenCV', 'Amazon SageMaker', 'RapidMiner', '', 'PyTorch', 'OpenAI GPT', 'Microsoft Azure AI', 'DataRobot', 'Keras', 'Google Cloud AI', 'IBM Watson', 'Weka']"
73,5837ce20-4210-4fb6-836a-0f7ba05114e5,Middle School,2,Swedish,"['AI Planning and Optimization', 'Natural Language Processing', 'AI in Finance', 'Robotics', 'Generative AI', 'Speech Recognition']","['Kaggle', 'Coursera', 'edX', 'Udemy']","['YouTube', 'Stanford Online', 'Udemy', 'Coursera', 'GitHub', 'MIT OpenCourseWare', 'Kaggle', 'Harvard Online', 'DeepLearning.ai', 'Google AI', '']","['Google Cloud AI', 'BigML', 'Keras', '', 'Scikit-learn', 'TensorFlow', 'PyTorch', 'Amazon SageMaker', 'IBM Watson']"
74,5948264c-ec22-4e28-b32c-a768ac38fdcb,University,2,English,"['Cognitive Computing', 'Natural Language Processing', 'AI for Games', 'Autonomous Vehicles', 'AI in Finance', 'AI Planning and Optimization', 'Neural Networks', 'Deep Learning', 'Computer Vision', 'AI in Healthcare', 'Rein']","['MIT OpenCourseWare', 'Google AI', 'GitHub', 'Stanford Online', 'Udemy', 'DeepLearning.ai']","['Kaggle', 'Coursera', '', 'Google AI', 'DeepLearning.ai', 'GitHub', 'YouTube', 'Udemy']","['', 'Amazon SageMaker', 'DataRobot', 'TensorFlow', 'BigML', 'Scikit-learn', 'Hugging Face Transformers', 'Microsoft Azure AI', 'OpenAI GPT', 'RapidMiner', 'Weka', 'Google Cloud AI']"
75,5a1a9941-8d51-4581-a3ab-f975956ff128,Undergraduate Degree,3,Japanese,"['Computer Vision', 'AI Ethics', 'Machine Learning', 'Autonomous Vehicles', 'Cognitive Computing', 'AI for Games', 'AI in Finance', 'Generative AI', 'Natural Language Processing', '', 'AI in Healthcare', 'Robotics']","['Coursera', 'Stanford Online', '', 'GitHub', 'Kaggle', 'DeepLearning.ai', 'edX', 'Udemy']","['Udemy', 'Harvard Online', 'edX']","['Hugging Face Transformers', 'RapidMiner', 'OpenAI GPT', 'Google Cloud AI', '', 'OpenCV', 'IBM Watson']"
76,5a9a3eec-e500-4682-ac6c-5a1ab41889e1,Elementary,1,Russian,"['Autonomous Vehicles', 'AI in Finance', 'Generative AI', 'Expert Systems']","['', 'edX']","['DeepLearning.ai', 'Coursera', 'Google AI', 'Harvard Online', 'Stanford Online', 'YouTube']","['Google Cloud AI', 'Microsoft Azure AI', 'OpenCV', 'Amazon SageMaker', 'Keras', 'Scikit-learn']"
77,5aa1af2d-a8c6-47dd-bd62-11d9bbfb9940,Master Degree,4,Polish,"['AI for Games', '', 'AI in Education', 'Natural Language Processing', 'Computer Vision', 'Deep Learning', 'AI Ethics', 'Reinforcement Learning', 'AI in Healthcare', 'Neural Networks', 'Autonomous Vehicles', 'Expert Systems', 'Co']","['Harvard Online', 'YouTube', '', 'Coursera', 'MIT OpenCourseWare', 'Udemy', 'Stanford Online', 'Google AI', 'edX']","['', 'MIT OpenCourseWare']","['Google Cloud AI', 'Microsoft Azure AI', 'Amazon SageMaker', 'Weka', 'BigML', 'RapidMiner', 'IBM Watson', 'Keras', 'DataRobot']"
79,5c6e3fda-9114-4a46-9d5f-d8ee70ebb9d8,Undergraduate Degree,3,Turkish,"['Cognitive Computing', 'Neural Networks', 'Autonomous Vehicles']","['Kaggle', 'Coursera', 'MIT OpenCourseWare', 'Google AI', 'GitHub', '', 'Udemy']","['Coursera', 'Harvard Online', '', 'MIT OpenCourseWare', 'Udemy']","['BigML', 'Google Cloud AI']"
80,5dae740f-f28b-4e4a-aadb-afc673ea559f,Undergraduate Degree,3,Polish,['AI in Finance'],"['Kaggle', 'DeepLearning.ai', 'Harvard Online', 'Udemy', 'Coursera', '', 'GitHub', 'YouTube']","['edX', 'Harvard Online', 'DeepLearning.ai', 'MIT OpenCourseWare', 'GitHub', 'Coursera', 'Stanford Online', 'YouTube']","['Microsoft Azure AI', 'Weka', 'BigML', 'OpenCV', 'DataRobot']"
81,5e629ec7-ecbf-4ea6-aa78-14d2ca5f4c5f,High School,0,Italian,"['Natural Language Processing', 'Machine Learning', 'Speech Recognition', 'Reinforcement Learning', 'AI in Finance', 'Robotics', 'AI for Games', 'Autonomous Vehicles', 'Deep Learning', 'Neural Networks']",['MIT OpenCourseWare'],"['Harvard Online', 'MIT OpenCourseWare', 'Coursera', 'edX', '', 'DeepLearning.ai', 'Google AI']","['BigML', 'Google Cloud AI', '', 'IBM Watson', 'Amazon SageMaker', 'Microsoft Azure AI', 'TensorFlow', 'DataRobot', 'OpenCV', 'RapidMiner', 'Hugging Face Transformers', 'Scikit-learn', 'Keras', 'Weka']"
84,630c6ec3-d87b-498d-9ba2-8f9609d10a53,High School,0,Korean,"['Reinforcement Learning', 'AI in Education', 'Cognitive Computing', 'AI Ethics']",['Coursera'],['edX'],"['Amazon SageMaker', 'Microsoft Azure AI', 'OpenCV', 'PyTorch', 'DataRobot', 'BigML', '', 'Scikit-learn', 'IBM Watson']"
86,63c941d4-03a8-4c7c-bd72-d64d7d2197d7,Master Degree,4,Japanese,"['Expert Systems', 'Deep Learning', 'AI Planning and Optimization', '', 'AI in Finance']","['Kaggle', 'edX', 'GitHub', 'Coursera', 'Stanford Online', 'Google AI', 'DeepLearning.ai', 'Udemy', 'MIT OpenCourseWare']","['', 'edX', 'YouTube', 'MIT OpenCourseWare', 'Coursera']","['OpenAI GPT', 'Scikit-learn', '', 'Weka', 'Hugging Face Transformers', 'RapidMiner']"
87,66bab512-3ea1-44f9-a5a1-1d31461b424e,Elementary,1,Arabic,"['Reinforcement Learning', '', 'AI Ethics', 'AI in Healthcare', 'Machine Learning', 'AI in Education', 'Neural Networks', 'AI Planning and Optimization', 'Computer Vision', 'Autonomous Vehicles', 'Cognitive Computing', 'AI for']","['Kaggle', 'Google AI']","['MIT OpenCourseWare', 'Stanford Online', 'Google AI', 'Coursera', 'GitHub', 'Harvard Online']","['Keras', 'Google Cloud AI', 'Weka', 'OpenAI GPT', 'Scikit-learn', 'BigML', 'IBM Watson', 'PyTorch', 'Amazon SageMaker']"
88,67853634-2106-4a00-b40a-a6a29c287aac,Middle School,1,Dutch,"['AI Planning and Optimization', 'AI in Finance', 'AI in Education']","['Kaggle', '', 'GitHub']","['edX', 'YouTube', '', 'DeepLearning.ai', 'Harvard Online', 'Coursera', 'MIT OpenCourseWare', 'Stanford Online', 'GitHub', 'Google AI']","['TensorFlow', 'Keras', 'IBM Watson', 'BigML', 'Hugging Face Transformers', 'DataRobot', '', 'RapidMiner']"
89,688893d2-6e41-4504-a623-0c2431234b4a,High School,0,Spanish,"['Machine Learning', 'AI in Healthcare', 'AI Planning and Optimization', 'Computer Vision', 'AI Ethics', 'Generative AI', 'Neural Networks', 'Reinforcement Learning', 'AI in Education']",['Coursera'],"['YouTube', 'Google AI', 'Kaggle']",['TensorFlow']
91,6bbb4841-40a0-46c2-a805-6b760e59fbe1,Master Degree,4,Arabic,"['AI for Games', 'Robotics', 'Natural Language Processing', 'AI in Finance', 'Deep Learning', 'Machine Learning', 'Autonomous Vehicles', 'Neural Networks', 'Recommender Systems', 'AI Ethics', 'AI in Education', 'AI in Healthca']","['Coursera', 'edX', 'GitHub', 'DeepLearning.ai', 'Google AI', 'Udemy', 'MIT OpenCourseWare', '', 'Kaggle']","['Stanford Online', 'edX']","['Google Cloud AI', 'TensorFlow']"
92,6c3f0554-ca74-448c-bce0-f47b9a6b4026,High School,0,Polish,"['AI in Healthcare', 'Neural Networks', 'Autonomous Vehicles', 'Speech Recognition', 'Machine Learning', 'AI for Games', 'AI Ethics', 'AI in Education', 'Robotics']",['DeepLearning.ai'],"['Udemy', 'Coursera', 'GitHub']","['DataRobot', '', 'Weka', 'OpenCV']"
93,6ecaff71-ffd7-4863-93f3-e75a066f9ed5,University,2,Hindi,"['', 'Speech Recognition', 'Computer Vision', 'Recommender Systems', 'Deep Learning', 'Autonomous Vehicles', 'AI Ethics', 'Expert Systems']","['', 'YouTube', 'edX', 'DeepLearning.ai', 'Stanford Online', 'GitHub']","['YouTube', 'Google AI', 'Udemy', 'Coursera', '', 'Stanford Online', 'Harvard Online', 'DeepLearning.ai', 'edX', 'MIT OpenCourseWare']","['Hugging Face Transformers', 'IBM Watson', 'PyTorch', 'Weka']"
94,6f92e35f-e4f6-4197-ab46-f80e9f236586,Master Degree,4,Vietnamese,"['Deep Learning', 'Machine Learning', 'AI in Education', 'AI Ethics', '', 'Expert Systems', 'Natural Language Processing', 'Neural Networks', 'Recommender Systems', 'Speech Recognition']","['Udemy', 'Kaggle', 'Coursera', 'YouTube', '', 'Stanford Online', 'DeepLearning.ai', 'MIT OpenCourseWare', 'Google AI']","['Udemy', 'MIT OpenCourseWare']","['Hugging Face Transformers', '', 'RapidMiner', 'TensorFlow', 'Microsoft Azure AI', 'DataRobot', 'OpenAI GPT', 'Weka', 'PyTorch', 'IBM Watson', 'Google Cloud AI', 'Amazon SageMaker']"
96,75094651-b8e1-436b-9d53-168c8a4c04c0,Undergraduate Degree,3,Dutch,"['AI in Education', 'Robotics', 'AI in Healthcare', 'Machine Learning', 'Cognitive Computing', 'Natural Language Processing']","['edX', 'DeepLearning.ai', 'Udemy', '', 'MIT OpenCourseWare', 'Harvard Online', 'Kaggle']","['Harvard Online', 'GitHub', 'Udemy', 'YouTube', 'MIT OpenCourseWare', 'Google AI', 'edX', '', 'Coursera']","['Google Cloud AI', 'BigML', 'Weka', 'DataRobot', 'Scikit-learn', 'TensorFlow', 'OpenCV', '']"
97,75fd094f-1310-4c62-bc83-0df19b4ba7d6,High School,0,Swedish,"['Cognitive Computing', 'AI Ethics', 'AI in Healthcare', 'AI Planning and Optimization', 'Natural Language Processing', 'Speech Recognition', 'Machine Learning', 'Recommender Systems', 'Autonomous Vehicles', 'Neural Netw']",['Coursera'],"['Coursera', 'Google AI', 'GitHub', 'YouTube', 'Harvard Online', 'Stanford Online']","['Hugging Face Transformers', 'Weka', 'Amazon SageMaker', 'DataRobot', 'BigML', 'PyTorch', 'TensorFlow', 'Keras', 'IBM Watson']"
98,76c9c27a-d588-4b0f-9301-a92f5a6242f3,Master Degree,4,Italian,"['Expert Systems', 'Speech Recognition', 'Deep Learning', 'Generative AI', 'AI Planning and Optimization', 'AI in Healthcare', 'Neural Networks', 'Recommender Systems', 'Natural Language Processing', 'Cognitive Computing']","['', 'GitHub', 'Coursera', 'Udemy', 'DeepLearning.ai', 'YouTube', 'Stanford Online', 'MIT OpenCourseWare', 'Google AI']","['YouTube', 'Udemy', 'Harvard Online', 'DeepLearning.ai', 'Stanford Online', '', 'MIT OpenCourseWare', 'GitHub']","['RapidMiner', 'BigML']"
101,7c852755-26a2-4e37-ab3d-f51082e6983e,Elementary,1,Italian,"['', 'AI in Finance', 'AI for Games', 'AI in Education', 'Neural Networks', 'Generative AI', 'Machine Learning', 'Autonomous Vehicles', 'Cognitive Computing']","['Udemy', 'Kaggle']","['Harvard Online', 'MIT OpenCourseWare', 'Google AI', 'Kaggle', 'Udemy', 'edX', '', 'DeepLearning.ai']","['TensorFlow', 'RapidMiner', 'OpenCV', 'Keras', 'Microsoft Azure AI', 'Amazon SageMaker', 'DataRobot', 'PyTorch', 'BigML', 'Scikit-learn', 'Hugging Face Transformers', '', 'OpenAI GPT']"
104,7fcc1027-6f58-4eaf-8885-574eba7d2e5f,Undergraduate Degree,3,Turkish,"['Robotics', 'AI in Finance', 'Recommender Systems', 'AI for Games', 'AI Ethics', 'Autonomous Vehicles', 'Computer Vision', 'AI in Education', 'Generative AI', 'Neural Networks', 'Deep Learning', 'Speech Recognition', 'Machine Le']","['GitHub', 'DeepLearning.ai', 'Stanford Online', 'YouTube', 'Coursera', 'Udemy', '']","['edX', 'Udemy', '']","['', 'DataRobot', 'Microsoft Azure AI', 'TensorFlow', 'BigML', 'Hugging Face Transformers', 'Scikit-learn']"
105,80801e4a-fbfd-4f31-aa43-8a98ce5c3abe,Elementary,1,Japanese,['Computer Vision'],"['Coursera', '']","['DeepLearning.ai', 'Kaggle', 'Google AI', 'Coursera', 'GitHub', '', 'MIT OpenCourseWare', 'Stanford Online']","['DataRobot', 'Scikit-learn', 'IBM Watson', 'Google Cloud AI']"
106,816d61b5-509c-4ab1-918d-4c6112e4fe54,High School,0,Turkish,"['AI Ethics', 'Generative AI', 'Deep Learning', 'Computer Vision', 'Reinforcement Learning', 'AI in Finance']",['edX'],"['GitHub', '']","['IBM Watson', 'Google Cloud AI', 'Amazon SageMaker', 'Scikit-learn']"
107,81bfc917-85c3-473f-ad29-06df89b3b5e5,Undergraduate Degree,3,Korean,"['Deep Learning', 'AI Ethics', 'AI in Education']","['MIT OpenCourseWare', 'Google AI', 'Stanford Online', 'Coursera', 'Kaggle', 'DeepLearning.ai', '']","['YouTube', 'Harvard Online', 'DeepLearning.ai', 'edX']","['DataRobot', 'OpenCV', 'Google Cloud AI', 'Amazon SageMaker', 'TensorFlow', 'Hugging Face Transformers', 'Keras', 'OpenAI GPT', 'Scikit-learn', 'Microsoft Azure AI', 'BigML']"
108,822fdd83-549e-4ee8-a2e4-c914c675dfa8,Undergraduate Degree,3,English,"['Computer Vision', 'AI in Healthcare', 'Machine Learning', 'Natural Language Processing', 'AI for Games', 'AI in Finance', 'Autonomous Vehicles', 'AI Ethics', 'Robotics']","['YouTube', 'edX', 'Udemy', 'MIT OpenCourseWare', 'Google AI', '', 'Coursera']","['DeepLearning.ai', 'Harvard Online', 'GitHub', 'edX', 'YouTube', 'Google AI', 'MIT OpenCourseWare', 'Udemy', 'Coursera', 'Stanford Online']","['IBM Watson', 'Hugging Face Transformers', 'Weka', 'Amazon SageMaker', 'Google Cloud AI', 'RapidMiner', 'OpenCV', 'DataRobot', 'BigML']"
109,853aa715-51c6-4156-a38d-f15717603007,High School,0,Korean,"['', 'Computer Vision', 'AI Ethics', 'Autonomous Vehicles', 'Expert Systems', 'AI for Games', 'AI in Education', 'Reinforcement Learning', 'Recommender Systems', 'Cognitive Computing', 'AI in Healthcare', 'Neural Networks']",['MIT OpenCourseWare'],"['GitHub', 'Google AI']","['Keras', 'IBM Watson', 'Microsoft Azure AI', 'Amazon SageMaker', 'Weka', 'Google Cloud AI', 'DataRobot']"
110,864f0922-bd49-4fb4-81b1-f8541ac73af1,Middle School,2,English,"['Speech Recognition', 'AI for Games', 'Natural Language Processing', 'Machine Learning', 'Reinforcement Learning', 'AI in Healthcare']","['Harvard Online', 'YouTube', 'Coursera', 'Kaggle']","['MIT OpenCourseWare', 'Google AI', 'GitHub']","['Hugging Face Transformers', 'IBM Watson', 'Scikit-learn', 'PyTorch', 'Microsoft Azure AI', 'OpenAI GPT', 'TensorFlow', 'DataRobot', 'Keras', 'Amazon SageMaker', 'OpenCV', 'Weka', 'RapidMiner']"
111,874dd59a-0bd3-4b76-989b-1f244dda9510,High School,0,English,"['Recommender Systems', 'Natural Language Processing', 'Autonomous Vehicles', 'AI Ethics', 'Neural Networks', 'AI Planning and Optimization', 'Speech Recognition']",['edX'],"['DeepLearning.ai', 'MIT OpenCourseWare', 'YouTube', 'Stanford Online', 'Kaggle']","['Keras', 'IBM Watson', 'PyTorch', 'TensorFlow', 'Scikit-learn']"
112,87efaa5b-4403-400c-8add-915e5d65cc4d,University,2,Spanish,"['AI for Games', 'Robotics', 'Computer Vision', 'AI in Finance', '', 'Expert Systems']","['Stanford Online', 'Udemy', 'Kaggle', 'GitHub', 'MIT OpenCourseWare', '']","['DeepLearning.ai', 'edX', 'Harvard Online', 'Udemy', 'Coursera', '', 'Stanford Online']",['Microsoft Azure AI']
113,8837995e-9134-40ef-81f3-ab53f01f0a00,Elementary,1,Hindi,"['', 'AI in Finance', 'AI Planning and Optimization', 'Neural Networks', 'Cognitive Computing', 'AI for Games', 'Recommender Systems', 'Autonomous Vehicles', 'Speech Recognition', 'Machine Learning', 'Expert Systems', 'AI Ethi']","['Kaggle', 'MIT OpenCourseWare']","['edX', 'Google AI', 'Coursera', 'Udemy', 'Harvard Online', 'YouTube', 'Stanford Online', 'GitHub', '']",['Scikit-learn']
114,88856b45-249b-4775-a467-883f22b22f28,Middle School,1,Russian,"['AI for Games', 'Expert Systems', 'AI in Healthcare', 'Reinforcement Learning', 'AI in Education', 'Natural Language Processing', 'Speech Recognition', 'Robotics', 'Generative AI', 'Computer Vision', 'Deep Learning', 'Cogniti']","['Harvard Online', 'DeepLearning.ai', 'Stanford Online']","['Harvard Online', 'YouTube', 'GitHub', 'Kaggle', 'Udemy']","['OpenCV', 'PyTorch', 'Hugging Face Transformers', 'Weka', 'Scikit-learn', '', 'BigML', 'DataRobot', 'TensorFlow', 'Keras', 'Google Cloud AI', 'Amazon SageMaker', 'RapidMiner', 'OpenAI GPT']"
115,88916d98-af04-40e7-a3f1-ffce311b64be,Elementary,1,French,"['AI in Healthcare', 'Autonomous Vehicles', 'AI Ethics', 'Natural Language Processing', 'AI Planning and Optimization', 'Machine Learning']","['Stanford Online', 'Harvard Online']","['Harvard Online', 'Coursera', 'DeepLearning.ai', '', 'MIT OpenCourseWare', 'Kaggle']","['Hugging Face Transformers', 'Amazon SageMaker', 'Weka', 'Keras', 'TensorFlow', 'Google Cloud AI', 'Scikit-learn', 'DataRobot', 'OpenAI GPT', '']"
116,89255034-1b6f-43de-a882-b2f4faf3e0ab,Undergraduate Degree,3,German,"['Robotics', 'AI Planning and Optimization', 'AI in Finance', 'Generative AI', 'Autonomous Vehicles', 'Recommender Systems']","['edX', 'GitHub', 'MIT OpenCourseWare', 'Kaggle', 'Harvard Online', 'Coursera', 'Udemy']","['', 'MIT OpenCourseWare', 'DeepLearning.ai', 'GitHub', 'Stanford Online', 'Kaggle', 'Udemy']","['PyTorch', 'OpenCV', 'Microsoft Azure AI', 'Weka', 'Amazon SageMaker', 'RapidMiner', 'Keras', '', 'BigML', 'Google Cloud AI', 'IBM Watson', 'DataRobot', 'TensorFlow', 'Scikit-learn', 'OpenAI GPT']"
117,89dc1eb1-2764-4327-977b-8e5b56de811a,Undergraduate Degree,3,Russian,"['Robotics', 'AI Planning and Optimization', 'Computer Vision', 'Cognitive Computing', 'Recommender Systems', 'Speech Recognition', 'Expert Systems', 'Deep Learning', 'Autonomous Vehicles', 'AI in Healthcare', '', 'AI for Game']","['', 'Coursera', 'Kaggle', 'Google AI', 'YouTube', 'edX', 'Harvard Online', 'DeepLearning.ai']","['Google AI', 'Harvard Online', 'DeepLearning.ai', 'Stanford Online', 'MIT OpenCourseWare', 'GitHub', 'Coursera']","['Scikit-learn', 'OpenAI GPT', 'Weka', 'IBM Watson', '', 'Keras', 'TensorFlow', 'BigML', 'OpenCV', 'PyTorch', 'DataRobot', 'Microsoft Azure AI', 'Google Cloud AI']"
118,8c5c12ad-3da6-4d4c-b5ae-5d10550e34a8,Undergraduate Degree,3,German,"['AI in Healthcare', 'Cognitive Computing', 'AI Planning and Optimization', 'AI Ethics', 'Reinforcement Learning', 'AI in Finance', 'Speech Recognition', 'Robotics', 'Machine Learning', 'AI for Games', 'Generative AI']","['Harvard Online', 'YouTube', 'MIT OpenCourseWare', 'GitHub', 'Coursera', 'Stanford Online', 'Google AI', 'edX']","['DeepLearning.ai', 'Udemy', 'Harvard Online']","['Amazon SageMaker', 'Google Cloud AI', 'Scikit-learn', 'BigML', 'IBM Watson', 'OpenAI GPT', 'Hugging Face Transformers', 'DataRobot', 'Keras', 'OpenCV', 'RapidMiner', 'Weka']"
119,8e349b4f-4710-47f6-a79c-27e580403224,Undergraduate Degree,3,Turkish,"['Neural Networks', 'Natural Language Processing', 'Computer Vision', 'AI in Education', 'Machine Learning', 'AI Planning and Optimization', 'Expert Systems', 'Cognitive Computing', 'Autonomous Vehicles', 'AI Ethics']","['', 'YouTube', 'Google AI', 'Coursera', 'MIT OpenCourseWare', 'DeepLearning.ai', 'Harvard Online', 'edX']",['DeepLearning.ai'],"['Microsoft Azure AI', 'Keras', 'RapidMiner', 'TensorFlow', '', 'Google Cloud AI', 'Weka', 'IBM Watson', 'PyTorch', 'Amazon SageMaker', 'OpenAI GPT', 'Scikit-learn', 'BigML', 'DataRobot']"
120,93e8e9ff-3945-4786-a197-1a0fa2c504f3,High School,0,Turkish,"['AI in Education', 'Robotics', 'AI for Games', 'Neural Networks', 'Machine Learning', 'Speech Recognition', 'AI in Finance', 'Reinforcement Learning', 'Cognitive Computing', 'AI Planning and Optimization', 'Computer Vision']",['Coursera'],"['edX', 'Harvard Online', 'Google AI']","['PyTorch', 'Google Cloud AI', 'IBM Watson', 'Microsoft Azure AI', 'Scikit-learn', 'Amazon SageMaker', '', 'BigML', 'RapidMiner']"
121,959c1a85-ff8c-4277-b8a4-2b4f44195aae,High School,0,Dutch,"['AI in Finance', 'Recommender Systems', 'AI Ethics', 'Reinforcement Learning', 'AI Planning and Optimization', 'Deep Learning', 'AI in Education', 'Autonomous Vehicles', 'Speech Recognition', 'Cognitive Computing', '', 'Robot']",['Harvard Online'],"['Harvard Online', 'Kaggle', 'Udemy', 'edX']","['PyTorch', 'BigML', 'Hugging Face Transformers', 'Scikit-learn', 'OpenCV', 'TensorFlow', 'Google Cloud AI', 'Keras', 'OpenAI GPT', 'IBM Watson', '', 'RapidMiner']"
122,968359c3-863d-41ea-815e-72514bc1f859,Middle School,1,Japanese,"['Recommender Systems', 'Expert Systems', 'Reinforcement Learning', 'Computer Vision', 'Natural Language Processing', 'AI in Healthcare', 'Speech Recognition', 'Deep Learning', 'Generative AI', 'Cognitive Computing', 'Machi']","['Google AI', 'MIT OpenCourseWare', 'Coursera']","['edX', 'Google AI', 'Kaggle', 'GitHub', 'MIT OpenCourseWare', '']","['BigML', 'Microsoft Azure AI']"
123,973f73e7-797e-4ed3-ac5a-8a0d3b65fe26,Undergraduate Degree,3,Spanish,"['AI in Education', 'AI Planning and Optimization', '', 'Natural Language Processing', 'Expert Systems', 'Recommender Systems', 'Robotics', 'Autonomous Vehicles', 'Machine Learning']","['Udemy', 'Coursera', 'Google AI', 'Kaggle', 'Stanford Online', 'DeepLearning.ai', 'edX']","['YouTube', 'Coursera', 'edX']","['Hugging Face Transformers', 'Weka', '', 'OpenCV', 'IBM Watson', 'OpenAI GPT', 'Google Cloud AI', 'TensorFlow', 'Microsoft Azure AI', 'BigML', 'RapidMiner', 'Amazon SageMaker', 'PyTorch']"
